month,hate_count
2010-05,277
2010-06,438
2010-07,521
2010-08,330
2010-09,401
2010-10,637
2010-11,331
2010-12,316
2011-01,593
2011-02,317
2011-03,463
2011-04,390
2011-05,458
2011-06,399
2011-07,468
2011-08,464
2011-09,451
2011-10,368
2011-11,235
2011-12,225
2012-01,291
2012-02,265
2012-03,229
2012-04,230
2012-05,308
2012-06,246
2012-07,231
2012-08,263
2012-09,226
2012-10,256
2012-11,133
2012-12,196
2013-01,183
2013-02,205
2013-03,175
2013-04,146
2013-05,148
2013-06,98
2013-07,105
2013-08,187
2013-09,160
2013-10,107
2013-11,115
2013-12,868
2014-01,1289
2014-02,1465
2014-03,1901
2014-04,1462
2014-05,1339
2014-06,1344
2014-07,2059
2014-08,1757
2014-09,2314
2014-10,1950
2014-11,1486
2014-12,1378
2015-01,1068
2015-02,1632
2015-03,1327
2015-04,1437
2015-05,1782
2015-06,1440
2015-07,1488
2015-08,1671
2015-09,2076
2015-10,1878
2015-11,2096
2015-12,2334
2016-01,2162
2016-02,1946
2016-03,2540
2016-04,2419
2016-05,2474
2016-06,2984
2016-07,3086
2016-08,3012
2016-09,3048
2016-10,2775
2016-11,3235
2016-12,2732
2017-01,3767
2017-02,3057
2017-03,2988
2017-04,3169
2017-05,3617
2017-06,3846
2017-07,2703
2017-08,3989
2017-09,2813
2017-10,3669
2017-11,3760
2017-12,3328
2018-01,3329
2018-02,2838
2018-03,3235
2018-04,3401
2018-05,3306
2018-06,3422
2018-07,3436
2018-08,3455
2018-09,3160
2018-10,2785
2018-11,3045
2018-12,3583
2019-01,3290
2019-02,3164
2019-03,3534
2019-04,3218
2019-05,3223
2019-06,3167
2019-07,3704
2019-08,2937
2019-09,3445
2019-10,3226
2019-11,3206
2019-12,3205
2020-01,4223
2020-02,3315
2020-03,4528
2020-04,5058
2020-05,4588
2020-06,5489
2020-07,4291
2020-08,4874
2020-09,4522
2020-10,4987
2020-11,6262
2020-12,4815
2021-01,6277
2021-02,5315
2021-03,5770
2021-04,5667
2021-05,5927
2021-06,5626
2021-07,6004
2021-08,4113
2021-09,5627
2021-10,4496
2021-11,5081
2021-12,1563
