,month,n_posts_sci,n_posts_news,n_posts_pol,n_posts_adv
0,1/5/2010,4104,0,0,0
1,1/6/2010,6883,0,0,0
2,1/7/2010,6323,0,0,0
3,1/8/2010,4547,0,0,0
4,1/9/2010,4701,0,0,0
5,1/10/2010,6352,0,0,0
6,1/11/2010,4230,0,0,0
7,1/12/2010,3868,0,0,0
8,1/1/2011,6333,0,0,0
9,1/2/2011,4873,0,0,0
10,1/3/2011,5436,0,0,0
11,1/4/2011,4925,0,0,0
12,1/5/2011,5450,0,0,0
13,1/6/2011,4883,0,0,0
14,1/7/2011,5447,0,0,0
15,1/8/2011,5717,0,0,0
16,1/9/2011,5475,0,0,0
17,1/10/2011,4843,0,0,0
18,1/11/2011,2854,0,0,0
19,1/12/2011,3340,0,0,0
20,1/1/2012,3304,0,0,0
21,1/2/2012,3514,0,0,0
22,1/3/2012,3293,0,0,0
23,1/4/2012,3056,0,0,0
24,1/5/2012,3920,0,0,0
25,1/6/2012,3229,0,0,0
26,1/7/2012,2938,0,0,0
27,1/8/2012,2773,0,0,0
28,1/9/2012,3201,0,0,0
29,1/10/2012,3445,0,0,0
30,1/11/2012,2183,0,0,0
31,1/12/2012,3056,0,0,0
32,1/1/2013,2909,0,0,0
33,1/2/2013,2450,0,0,0
34,1/3/2013,2929,0,0,0
35,1/4/2013,2073,0,0,0
36,1/5/2013,2160,0,0,0
37,1/6/2013,1972,0,0,0
38,1/7/2013,1844,0,0,0
39,1/8/2013,2700,0,0,0
40,1/9/2013,2413,0,0,0
41,1/10/2013,1785,0,0,0
42,1/11/2013,1558,0,0,0
43,1/12/2013,2233,0,4089,0
44,1/1/2014,2008,0,3944,1582
45,1/2/2014,1732,0,3553,3074
46,1/3/2014,2732,0,3748,3710
47,1/4/2014,1736,0,3696,3152
48,1/5/2014,2152,0,4528,2307
49,1/6/2014,1871,0,2669,2639
50,1/7/2014,1536,0,5819,3084
51,1/8/2014,1639,0,4901,2919
52,1/9/2014,1340,0,5103,3847
53,1/10/2014,1445,0,5814,3125
54,1/11/2014,2476,0,2472,2518
55,1/12/2014,2474,0,1759,2956
56,1/1/2015,1843,0,2682,2496
57,1/2/2015,2006,0,4792,2538
58,1/3/2015,1674,0,3405,2613
59,1/4/2015,1624,0,3264,2570
60,1/5/2015,2303,0,4347,3249
61,1/6/2015,659,0,4386,2259
62,1/7/2015,0,0,4770,2301
63,1/8/2015,0,0,6180,2166
64,1/9/2015,0,0,7566,2345
65,1/10/2015,631,0,6162,2159
66,1/11/2015,1590,203,6853,2756
67,1/12/2015,2076,654,8749,2946
68,1/1/2016,2472,865,7233,2885
69,1/2/2016,2060,541,6318,2258
70,1/3/2016,0,0,11940,2706
71,1/4/2016,0,285,9059,2294
72,1/5/2016,315,321,10493,2290
73,1/6/2016,2124,285,12575,2665
74,1/7/2016,1777,910,14453,1995
75,1/8/2016,1897,430,13960,2606
76,1/9/2016,3814,705,11733,2542
77,1/10/2016,1818,338,13135,2090
78,1/11/2016,1594,403,18303,1363
79,1/12/2016,1729,1248,13292,1536
80,1/1/2017,2535,1084,17989,2255
81,1/2/2017,2447,455,14676,1458
82,1/3/2017,2405,1326,12809,2347
83,1/4/2017,3225,382,11817,2920
84,1/5/2017,3071,728,14186,1816
85,1/6/2017,1929,750,13786,3780
86,1/7/2017,1924,1165,9180,1774
87,1/8/2017,2557,1298,14818,2743
88,1/9/2017,1729,485,11420,2019
89,1/10/2017,1680,871,11186,3636
90,1/11/2017,1317,620,15168,2480
91,1/12/2017,1930,1124,10907,2593
92,1/1/2018,2318,1187,9959,3300
93,1/2/2018,2786,821,9489,1930
94,1/3/2018,3126,1134,12861,2431
95,1/4/2018,1856,821,14550,2442
96,1/5/2018,2223,691,11243,2709
97,1/6/2018,1588,858,12917,2593
98,1/7/2018,2000,640,10263,3561
99,1/8/2018,2633,1088,12123,2579
100,1/9/2018,2262,900,9291,3080
101,1/10/2018,1704,1543,9532,2657
102,1/11/2018,2137,1442,9091,3236
103,1/12/2018,2127,999,12315,2073
104,1/1/2019,2804,1943,10366,2507
105,1/2/2019,2423,1173,9895,2748
106,1/3/2019,2412,1575,13361,2053
107,1/4/2019,2636,1446,9350,2421
108,1/5/2019,2405,1924,9217,2832
109,1/6/2019,1998,1735,8686,2677
110,1/7/2019,2607,1034,12243,2640
111,1/8/2019,2809,1637,9428,2229
112,1/9/2019,3712,1034,10450,2385
113,1/10/2019,3166,1939,9353,2339
114,1/11/2019,2087,1995,8968,2944
115,1/12/2019,2542,1216,9805,2439
116,1/1/2020,2181,1723,13627,2945
117,1/2/2020,2423,1065,12537,2751
118,1/3/2020,3095,1569,16090,2234
119,1/4/2020,2284,2165,16169,3406
120,1/5/2020,2721,2439,14672,1734
121,1/6/2020,3748,2181,17707,2769
122,1/7/2020,3279,1445,12768,4120
123,1/8/2020,3553,1591,14229,3708
124,1/9/2020,2474,1630,13437,4419
125,1/10/2020,3539,2814,18981,2726
126,1/11/2020,4283,1831,24160,2754
127,1/12/2020,3964,1679,14092,3520
128,1/1/2021,2540,3671,21018,4558
129,1/2/2021,3702,1851,14439,3877
130,1/3/2021,5045,1913,17089,2377
131,1/4/2021,3132,1797,15957,3796
132,1/5/2021,2498,2377,15380,6200
133,1/6/2021,3887,2769,13031,5625
134,1/7/2021,3098,1888,15822,5180
135,1/8/2021,3148,2407,12439,2205
136,1/9/2021,3996,1370,16578,5097
137,1/10/2021,2994,1152,10748,5984
138,1/11/2021,2953,1939,15141,4096
139,1/12/2021,849,382,5951,1148
